epoch,step,train_loss_epoch,train_loss_step,val/mse,val/r2,val_loss
33,1937,0.06009626016020775,,,,
34,1949,,0.05061472952365875,,,
34,1994,,,0.15684343874454498,0.8455232977867126,0.15684343874454498
34,1994,0.053539544343948364,,,,
35,1999,,0.05614707991480827,,,
35,2049,,0.04030810296535492,,,
35,2051,,,0.14574801921844482,0.8564513325691223,0.14574801921844482
35,2051,0.0558210164308548,,,,
36,2099,,0.05349151790142059,,,
36,2108,,,0.14825065433979034,0.8539864420890808,0.14825065433979034
36,2108,0.055271781980991364,,,,
37,2149,,0.04790528118610382,,,
37,2165,,,0.15418709814548492,0.8481395840644836,0.15418709814548492
37,2165,0.049793679267168045,,,,
38,2199,,0.05259998142719269,,,
38,2222,,,0.14709794521331787,0.8551217317581177,0.14709794521331787
38,2222,0.04888099431991577,,,,
39,2249,,0.04432900249958038,,,
39,2279,,,0.14814838767051697,0.8540871739387512,0.14814838767051697
39,2279,0.050989434123039246,,,,
40,2280,,,0.14814838767051697,0.8540871739387512,0.14814838767051697
